APMC,Commodity,cluster,date,modal_price,deseasonalize_price
Akluj,Potato,Akluj-Potato,2016-05-01,1722,1656.0787037037037
Akluj,Potato,Akluj-Potato,2015-11-01,1353,1650.9398148148148
Akluj,Potato,Akluj-Potato,2015-10-01,1056,1915.6064814814815
Akluj,Potato,Akluj-Potato,2016-10-01,1468,2023.023148148148
Akluj,Potato,Akluj-Potato,2015-09-01,1047,1850.6342592592594
Akluj,Potato,Akluj-Potato,2016-09-01,1705,1566.7175925925926
Akluj,Shevga,Akluj-Shevga,2015-04-01,1659,4039.09375
Akluj,Shevga,Akluj-Shevga,2016-04-01,1089,2560.8437500000005
Akluj,Shevga,Akluj-Shevga,2015-08-01,2529,2219.8437500000005
Akluj,Shevga,Akluj-Shevga,2016-08-01,3152,3043.010416666667
Akluj,Shevga,Akluj-Shevga,2014-12-01,4067,4059.7604166666665
Akluj,Shevga,Akluj-Shevga,2015-12-01,4211,5438.052083333333
Akluj,Shevga,Akluj-Shevga,2015-02-01,4944,3941.7604166666665
Akluj,Shevga,Akluj-Shevga,2016-02-01,2593,3617.677083333333
Akluj,Shevga,Akluj-Shevga,2015-01-01,4933,3619.510416666667
Akluj,Shevga,Akluj-Shevga,2016-01-01,3982,3667.760416666667
Akluj,Shevga,Akluj-Shevga,2015-07-01,5425,3634.1354166666665
Akluj,Shevga,Akluj-Shevga,2016-07-01,4281,3496.552083333333
Akluj,Shevga,Akluj-Shevga,2015-06-01,4767,3348.09375
Akluj,Shevga,Akluj-Shevga,2016-06-01,4033,3273.8437500000005
Akluj,Shevga,Akluj-Shevga,2015-03-01,2725,3233.8437500000005
Akluj,Shevga,Akluj-Shevga,2016-03-01,1513,3187.010416666667
Akluj,Shevga,Akluj-Shevga,2015-05-01,2423,3108.7604166666665
Akluj,Shevga,Akluj-Shevga,2016-05-01,2033,3087.052083333333
Akluj,Shevga,Akluj-Shevga,2014-11-01,4200,2729.7604166666665
Akluj,Shevga,Akluj-Shevga,2015-11-01,5214,3047.677083333333
Akluj,Shevga,Akluj-Shevga,2014-10-01,2800,3229.510416666667
Akluj,Shevga,Akluj-Shevga,2015-10-01,3513,2933.760416666667
Akluj,Shevga,Akluj-Shevga,2016-10-01,3058,2490.1354166666665
Akluj,Shevga,Akluj-Shevga,2014-09-01,2866,4119.552083333333
Akluj,Shevga,Akluj-Shevga,2015-09-01,2175,3633.09375
Akluj,Shevga,Akluj-Shevga,2016-09-01,2460,2818.8437500000005
Akluj,Tomato,Akluj-Tomato,2015-04-01,818,2164.4216380306893
Akluj,Tomato,Akluj-Tomato,2016-04-01,2525,1998.8765712515853
Akluj,Tomato,Akluj-Tomato,2015-08-01,1100,610.5034337578412
Akluj,Tomato,Akluj-Tomato,2016-08-01,1380,1010.727567621821
Akluj,Tomato,Akluj-Tomato,2014-12-01,1222,1326.7778668505828
Akluj,Tomato,Akluj-Tomato,2015-12-01,2241,1833.1950608571356
Akluj,Tomato,Akluj-Tomato,2015-02-01,1144,1119.9500647950554
Akluj,Tomato,Akluj-Tomato,2016-02-01,1363,856.8473853623966
Akluj,Tomato,Akluj-Tomato,2015-01-01,1339,1173.4477132985971
Akluj,Tomato,Akluj-Tomato,2016-01-01,2097,1287.484373147647
Akluj,Tomato,Akluj-Tomato,2015-07-01,1823,1356.4810175302696
Akluj,Tomato,Akluj-Tomato,2016-07-01,4280,1394.4155822808727
Akluj,Tomato,Akluj-Tomato,2015-06-01,1537,1430.7193878507949
Akluj,Tomato,Akluj-Tomato,2016-06-01,4857,1524.798661536272
Akluj,Tomato,Akluj-Tomato,2015-03-01,713,1657.860845159934
Akluj,Tomato,Akluj-Tomato,2016-03-01,1429,1853.5519468416537
Akluj,Tomato,Akluj-Tomato,2015-05-01,869,2077.8589893843705
Akluj,Tomato,Akluj-Tomato,2016-05-01,2589,2184.130129325416
Akluj,Tomato,Akluj-Tomato,2014-11-01,1118,2244.6124019525023
Akluj,Tomato,Akluj-Tomato,2015-11-01,3036,2644.9139951589873
Akluj,Tomato,Akluj-Tomato,2014-10-01,1754,3496.036973222173
Akluj,Tomato,Akluj-Tomato,2015-10-01,1338,4068.517631996175
Akluj,Tomato,Akluj-Tomato,2016-10-01,855,3184.716815704637
Akluj,Tomato,Akluj-Tomato,2014-09-01,1711,1749.357730497822
Akluj,Tomato,Akluj-Tomato,2015-09-01,1131,962.6679523912068
Akluj,Tomato,Akluj-Tomato,2016-09-01,761,974.366857708156
